Id;Typ;Titel;Formulierung (Frage / Text);Antwort;ZielId
1;Frage;Herzlich Willkommen zur Online-Hausarbeitshilfe!;Hast du ein genaues Thema?;Ja;4
1;Frage;Herzlich Willkommen zur Online-Hausarbeitshilfe!;Hast du ein genaues Thema? Www.uni-goettingen.de;Nein;3
2;Text;You're on a good way!;Prima. Folgende Angebote können dich unterstützen;Ja;7
3;Text;You‘re on a bad way!;Kein Problem.;Nein;6
4;Frage;Betreuer*in;Hast du einen Betreuer*in und ein genaues Thema?;Ja (und auch ein Thema);2
4;Frage;Betreuer*in;Hast du einen Betreuer*in und ein grobes Thema?;ja (aber noch kein Thema);13
4;Frage;Betreuer*in;Hast du einen Betreuer*in?;Nein;5
5;Frage;You're on a good way!;Hast du alles erledigt? (Checkliste);Ja;7
5;Frage;You‘re on a bad way!;Hast du alles erledigt? (Checkliste);Nein;6
6;Text;Terminanfrage;Bitte geben Sie mir einen Termin zur Beratung.;;
7;Frage;Auswahl Informationsbedarf;Wozu brauchst du mehr Informationen?;Literaturrecherche;8
7;Frage;Auswahl Informationsbedarf;Wozu brauchst du mehr Informationen?;Schreibwerkstatt;9
7;Frage;Auswahl Informationsbedarf;Wozu brauchst du mehr Informationen?;Formatierung;10
7;Frage;Auswahl Informationsbedarf;Wozu brauchst du mehr Informationen?;Zitieren;11
7;Frage;Auswahl Informationsbedarf;Wozu brauchst du mehr Informationen?;Statistik;12
8;Frage;Literaturrecherche;Infos + Beratungsbutton (Webseite);Weiter;6
9;Frage;Schreibwerkstatt;Infos + Beratungsbutton (Webseite);Weiter;6
10;Frage;Formatierung;Infos + Beratungsbutton (Webseite);Weiter;6
11;Frage;Zitieren;Infos + Beratungsbutton (Webseite);Weiter;6
12;Frage;Statistik;Infos + Beratungsbutton (Webseite);Weiter;6
13;Text;Well done!;Toll, diese Fragestellungen, Quellen und Beratungsangebote können dich bei deiner Eingrenzung unterstützen.;ja;1
